oeisID	n	distinct	distinct average appearances	maximum bit length	minimum	less-than-maximum total	most common	most common appearances	bridges
A005316	20	2	1	7	15	2	91	1	18
A005316	20	6	1	9	22	6	63	1	17
A005316	20	11	1	11	15	16	91	3	16
A005316	20	27	1	13	22	37	63	3	15
A005316	20	52	1	15	15	81	91	4	14
A005316	20	119	1	17	22	180	63	4	13
A005316	20	239	1	19	15	382	2701	5	12
A005316	20	531	1	21	22	836	668	5	11
A005316	20	1094	1	23	15	1769	43149	6	10
A005316	20	2145	1	22	22	3592	972	6	9
A005316	20	2664	2	20	15	5428	690317	7	8
A005316	20	2135	2	18	22	5494	10700	7	7
A005316	20	895	3	16	15	3311	4044	7	6
A005316	20	286	4	14	22	1254	15564	8	5
A005316	20	90	4	12	15	392	4044	7	4
A005316	20	32	3	10	22	125	972	6	3
A005316	20	10	4	8	15	40	252	5	2
A005316	20	4	3	6	22	12	63	4	1
A005316	20	1	3	4	15	3	15	3	0
A005316	21	3	1	6	22	3	63	1	19
A005316	21	6	1	8	15	7	15	2	18
A005316	21	15	1	10	22	20	63	3	17
A005316	21	29	1	12	15	42	91	3	16
A005316	21	67	1	14	22	100	63	4	15
A005316	21	134	1	16	15	207	91	4	14
A005316	21	299	1	18	22	468	668	5	13
A005316	21	614	1	20	15	974	252	5	12
A005316	21	1348	1	22	22	2156	972	6	11
A005316	21	2813	1	24	15	4522	2780	6	10
A005316	21	4278	1	22	22	8056	10700	7	9
A005316	21	4579	2	20	15	10072	4044	7	8
A005316	21	2754	3	18	22	8323	15564	8	7
A005316	21	895	4	16	15	3891	44492	8	6
A005316	21	286	4	14	22	1254	15564	8	5
A005316	21	90	4	12	15	392	4044	7	4
A005316	21	32	3	10	22	125	972	6	3
A005316	21	10	4	8	15	40	252	5	2
A005316	21	4	3	6	22	12	63	4	1
A005316	21	1	3	4	15	3	15	3	0
A005316	22	2	1	7	15	2	91	1	20
A005316	22	6	1	9	22	6	63	1	19
A005316	22	11	1	11	15	16	91	3	18
A005316	22	27	1	13	22	37	63	3	17
A005316	22	52	1	15	15	81	91	4	16
A005316	22	119	1	17	22	180	63	4	15
A005316	22	239	1	19	15	382	2701	5	14
A005316	22	531	1	21	22	836	668	5	13
A005316	22	1094	1	23	15	1769	43149	6	12
A005316	22	2397	1	25	22	3844	972	6	11
A005316	22	4550	1	24	15	7692	690317	7	10
A005316	22	6195	1	22	22	12271	10700	7	9
A005316	22	5657	2	20	15	13497	4044	7	8
A005316	22	2824	3	18	22	9502	15564	8	7
A005316	22	895	4	16	15	3961	44492	8	6
A005316	22	286	4	14	22	1254	15564	8	5
A005316	22	90	4	12	15	392	4044	7	4
A005316	22	32	3	10	22	125	972	6	3
A005316	22	10	4	8	15	40	252	5	2
A005316	22	4	3	6	22	12	63	4	1
A005316	22	1	3	4	15	3	15	3	0
A005316	23	3	1	6	22	3	63	1	21
A005316	23	6	1	8	15	7	15	2	20
A005316	23	15	1	10	22	20	63	3	19
A005316	23	29	1	12	15	42	91	3	18
A005316	23	67	1	14	22	100	63	4	17
A005316	23	134	1	16	15	207	91	4	16
A005316	23	299	1	18	22	468	668	5	15
A005316	23	614	1	20	15	974	252	5	14
A005316	23	1348	1	22	22	2156	972	6	13
A005316	23	2813	1	24	15	4522	2780	6	12
A005316	23	6125	1	26	22	9903	10700	7	11
A005316	23	9474	1	24	15	17472	4044	7	10
A005316	23	11215	2	22	22	23726	15564	8	9
A005316	23	8059	2	20	15	21880	44492	8	8
A005316	23	2950	4	18	22	12055	171212	9	7
A005316	23	895	4	16	15	4087	64716	9	6
A005316	23	286	4	14	22	1254	15564	8	5
A005316	23	90	4	12	15	392	4044	7	4
A005316	23	32	3	10	22	125	972	6	3
A005316	23	10	4	8	15	40	252	5	2
A005316	23	4	3	6	22	12	63	4	1
A005316	23	1	3	4	15	3	15	3	0
A005316	24	2	1	7	15	2	91	1	22
A005316	24	6	1	9	22	6	63	1	21
A005316	24	11	1	11	15	16	91	3	20
A005316	24	27	1	13	22	37	63	3	19
A005316	24	52	1	15	15	81	91	4	18
A005316	24	119	1	17	22	180	63	4	17
A005316	24	239	1	19	15	382	2701	5	16
A005316	24	531	1	21	22	836	668	5	15
A005316	24	1094	1	23	15	1769	43149	6	14
A005316	24	2397	1	25	22	3844	972	6	13
A005316	24	5012	1	27	15	8154	690317	7	12
A005316	24	9978	1	26	22	16726	10700	7	11
A005316	24	14099	1	24	15	27264	11045005	8	10
A005316	24	14533	2	22	22	32863	15564	8	9
A005316	24	8647	3	20	15	26078	44492	8	8
A005316	24	2950	4	18	22	12573	171212	9	7
A005316	24	895	4	16	15	4087	64716	9	6
A005316	24	286	4	14	22	1254	15564	8	5
A005316	24	90	4	12	15	392	4044	7	4
A005316	24	32	3	10	22	125	972	6	3
A005316	24	10	4	8	15	40	252	5	2
A005316	24	4	3	6	22	12	63	4	1
A005316	24	1	3	4	15	3	15	3	0
A005316	25	3	1	6	22	3	63	1	23
A005316	25	6	1	8	15	7	15	2	22
A005316	25	15	1	10	22	20	63	3	21
A005316	25	29	1	12	15	42	91	3	20
A005316	25	67	1	14	22	100	63	4	19
A005316	25	134	1	16	15	207	91	4	18
A005316	25	299	1	18	22	468	668	5	17
A005316	25	614	1	20	15	974	252	5	16
A005316	25	1348	1	22	22	2156	972	6	15
A005316	25	2813	1	24	15	4522	2780	6	14
A005316	25	6125	1	26	22	9903	10700	7	13
A005316	25	12905	1	28	15	20903	4044	7	12
A005316	25	21107	1	26	22	38631	15564	8	11
A005316	25	26770	2	24	15	54528	44492	8	10
A005316	25	22496	2	22	22	56405	171212	9	9
A005316	25	9823	3	20	15	35729	64716	9	8
A005316	25	2950	4	18	22	13623	249036	10	7
A005316	25	895	4	16	15	4087	64716	9	6
A005316	25	286	4	14	22	1254	15564	8	5
A005316	25	90	4	12	15	392	4044	7	4
A005316	25	32	3	10	22	125	972	6	3
A005316	25	10	4	8	15	40	252	5	2
A005316	25	4	3	6	22	12	63	4	1
A005316	25	1	3	4	15	3	15	3	0
A005316	26	2	1	7	15	2	91	1	24
A005316	26	6	1	9	22	6	63	1	23
A005316	26	11	1	11	15	16	91	3	22
A005316	26	27	1	13	22	37	63	3	21
A005316	26	52	1	15	15	81	91	4	20
A005316	26	119	1	17	22	180	63	4	19
A005316	26	239	1	19	15	382	2701	5	18
A005316	26	531	1	21	22	836	668	5	17
A005316	26	1094	1	23	15	1769	43149	6	16
