n,k,buckets
37,16,22742215
37,15,21703962
37,14,14900810
37,13,6495557
37,12,1961369
37,11,555469
37,10,159137
37,9,46181
37,8,13623
37,7,4087
37,6,1254
37,5,392
37,4,125
37,3,40
37,2,12
37,1,3
38,37,55
38,36,194
38,35,413
38,34,894
38,33,2048
38,32,4282
38,31,9314
38,30,19621
38,29,40857
38,28,85193
38,27,172075
38,26,349059
38,25,682477
38,24,1324926
38,23,2458789
38,22,4433267
38,21,7512109
38,20,12103327
38,19,18313082
38,18,25810004
38,17,33004715
38,16,36166618
38,15,31051366
38,14,18240006
38,13,6852832
38,12,1961369
38,11,555469
38,10,159137
38,9,46181
38,8,13623
38,7,4087
38,6,1254
38,5,392
38,4,125
38,3,40
38,2,12
38,1,3
39,38,57
39,37,198
39,36,430
39,35,920
39,34,2132
39,33,4431
39,32,9733
39,31,20429
39,30,42981
39,29,89439
39,28,182877
39,27,370976
39,26,737183
39,25,1436792
39,24,2733444
39,23,4994096
39,22,8779423
39,21,14532802
39,20,22886195
39,19,33811401
39,18,46318997
39,17,56431443
39,16,57413054
39,15,43415133
39,14,21545392
39,13,6987797
39,12,1961369
39,11,555469
39,10,159137
39,9,46181
39,8,13623
39,7,4087
39,6,1254
39,5,392
39,4,125
39,3,40
39,2,12
39,1,3
40,39,58
40,38,205
40,37,438
40,36,951
40,35,2188
40,34,4595
40,33,10050
40,32,21299
40,31,44686
40,30,93962
40,29,191866
40,28,394136
40,27,783893
40,26,1554215
40,25,2973124
40,24,5579781
40,23,9963639
40,22,17076571
40,21,27635220
40,20,42386326
40,19,60954311
40,18,80046981
40,17,91925448
40,16,84766101
40,15,55825149
40,14,23520848
40,13,6991892
40,12,1961369
40,11,555469
40,10,159137
40,9,46181
40,8,13623
40,7,4087
40,6,1254
40,5,392
40,4,125
40,3,40
40,2,12
40,1,3
41,40,60
41,39,209
41,38,455
41,37,977
41,36,2272
41,35,4744
41,34,10469
41,33,22107
41,32,46810
41,31,98208
41,30,202668
41,29,416053
41,28,838599
41,27,1666083
41,26,3248383
41,25,6145318
41,24,11307209
41,23,19760568
41,22,33113935
41,21,52462559
41,20,78893438
41,19,110205666
41,18,139092963
41,17,149051875
41,16,123426818
41,15,69060258
41,14,24820492
41,13,6991893
41,12,1961369
41,11,555469
41,10,159137
41,9,46181
41,8,13623
41,7,4087
41,6,1254
41,5,392
41,4,125
41,3,40
41,2,12
41,1,3
42,41,61
42,40,216
42,39,463
42,38,1008
42,37,2328
42,36,4908
42,35,10786
42,34,22977
42,33,48515
42,32,102731
42,31,211657
42,30,439213
42,29,885309
42,28,1783508
42,27,3488117
42,26,6735709
42,25,12518133
42,24,22556659
42,23,38585142
42,22,63087090
42,21,97976010
42,20,143205206
42,19,193254057
42,18,230532979
42,17,227278875
42,16,165270633
42,15,79044654
42,14,25121921
42,13,6991893
42,12,1961369
42,11,555469
42,10,159137
42,9,46181
42,8,13623
42,7,4087
42,6,1254
42,5,392
42,4,125
42,3,40
42,2,12
42,1,3
43,42,63
43,41,220
43,40,480
43,39,1034
43,38,2412
43,37,5057
43,36,11205
43,35,23785
43,34,50639
43,33,106977
43,32,222459
43,31,461130
43,30,940015
43,29,1895376
43,28,3763430
43,27,7301952
43,26,13888367
43,25,25358758
43,24,44777107
43,23,74987273
43,22,120433195
43,21,183181758
43,20,261558161
43,19,339476211
43,18,382193208
43,17,341554878
43,16,215010918
43,15,86490799
43,14,25134208
43,13,6991893
43,12,1961369
43,11,555469
43,10,159137
43,9,46181
43,8,13623
43,7,4087
43,6,1254
43,5,392
43,4,125
43,3,40
43,2,12
43,1,3
44,43,64
44,42,227
44,41,488
44,40,1065
44,39,2468
44,38,5221
44,37,11522
44,36,24655
44,35,52344
44,34,111500
44,33,231448
44,32,484290
44,31,986725
44,30,2012801
44,29,4003166
44,28,7893049
44,27,15105257
44,26,28272493
44,25,50675012
44,24,87409266
44,23,143780447
44,22,225769164
44,21,335799577
44,20,463126519
44,19,573255983
44,18,597548359
44,17,476691712
44,16,256927790
44,15,90039127
44,14,25134208
44,13,6991893
44,12,1961369
44,11,555469
44,10,159137
44,9,46181
44,8,13623
44,7,4087
44,6,1254
44,5,392
44,4,125
44,3,40
44,2,12
44,1,3
45,44,66
45,43,231
45,42,505
45,41,1091
45,40,2552
45,39,5370
45,38,11941
45,37,25463
45,36,54468
45,35,115746
45,34,242250
45,33,506207
45,32,1041431
45,31,2124669
45,30,4278481
45,29,8459350
45,28,16481455
45,27,31111320
45,26,57290683
45,25,100616971
45,24,170443790
45,23,275265172
45,22,425141790
