kind,n,boundary,buckets,arcCodes,bitWidthArcCode,bitWidthMeanders
semi,16,2,12,4,6,20
semi,16,1,3,1,4,21
semi,17,17,0,10,40,1
semi,17,16,24,24,34,1
semi,17,15,77,48,32,2
semi,17,14,155,96,30,3
semi,17,13,293,189,28,5
semi,17,12,592,346,26,6
semi,17,11,988,582,24,8
semi,17,10,1641,895,22,9
semi,17,9,2173,1074,20,11
semi,17,8,2464,1105,18,13
semi,17,7,2090,750,16,14
semi,17,6,1125,286,14,16
semi,17,5,392,90,12,17
semi,17,4,125,32,10,19
semi,17,3,40,10,8,20
semi,17,2,12,4,6,22
semi,17,1,3,1,4,22
semi,18,18,0,11,42,1
semi,18,17,25,25,36,1
semi,18,16,84,52,34,2
semi,18,15,163,101,32,3
semi,18,14,324,212,30,5
semi,18,13,648,378,28,6
semi,18,12,1152,699,26,8
semi,18,11,1956,1081,24,9
semi,18,10,2901,1528,22,11
semi,18,9,3593,1691,20,13
semi,18,8,3647,1517,18,14
semi,18,7,2636,847,16,16
semi,18,6,1207,286,14,17
semi,18,5,392,90,12,19
semi,18,4,125,32,10,21
semi,18,3,40,10,8,22
semi,18,2,12,4,6,23
semi,18,1,3,1,4,24
semi,19,19,0,11,44,1
semi,19,18,27,27,38,1
semi,19,17,88,55,36,2
semi,19,16,180,112,34,3
semi,19,15,350,228,32,5
semi,19,14,732,434,30,6
semi,19,13,1301,788,28,8
semi,19,12,2373,1362,26,9
semi,19,11,3681,1985,24,11
semi,19,10,5143,2592,22,13
semi,19,9,5981,2693,20,14
semi,19,8,5429,2109,18,16
semi,19,7,3327,895,16,17
semi,19,6,1254,286,14,19
semi,19,5,392,90,12,21
semi,19,4,125,32,10,22
semi,19,3,40,10,8,24
semi,19,2,12,4,6,25
semi,19,1,3,1,4,25
semi,20,20,0,12,46,1
semi,20,19,28,28,40,1
semi,20,18,95,59,38,2
semi,20,17,188,117,36,3
semi,20,16,381,251,34,5
semi,20,15,788,466,32,6
semi,20,14,1465,905,30,8
semi,20,13,2690,1550,28,9
semi,20,12,4523,2549,26,11
semi,20,11,6656,3462,24,13
semi,20,10,8610,4118,22,14
semi,20,9,9056,3912,20,16
semi,20,8,7279,2507,18,17
semi,20,7,3690,895,16,19
semi,20,6,1254,286,14,21
semi,20,5,392,90,12,22
semi,20,4,125,32,10,24
semi,20,3,40,10,8,25
semi,20,2,12,4,6,27
semi,20,1,3,1,4,27
semi,21,21,0,12,48,1
semi,21,20,30,30,42,1
semi,21,19,99,62,40,2
semi,21,18,205,128,38,3
semi,21,17,407,267,36,5
semi,21,16,872,522,34,6
semi,21,15,1614,994,32,8
semi,21,14,3109,1833,30,9
semi,21,13,5329,3030,28,11
semi,21,12,8588,4699,26,13
semi,21,11,11974,5966,24,14
semi,21,10,14374,6737,22,16
semi,21,9,14089,5633,20,17
semi,21,8,9518,2886,18,19
semi,21,7,4023,895,16,21
semi,21,6,1254,286,14,22
semi,21,5,392,90,12,24
semi,21,4,125,32,10,26
semi,21,3,40,10,8,27
semi,21,2,12,4,6,28
semi,21,1,3,1,4,29
semi,22,22,0,13,50,1
semi,22,21,31,31,44,1
semi,22,20,106,66,42,2
semi,22,19,213,133,40,3
semi,22,18,438,290,38,5
semi,22,17,928,554,36,6
semi,22,16,1778,1111,34,8
semi,22,15,3426,2021,32,9
semi,22,14,6197,3620,30,11
semi,22,13,10261,5705,28,13
semi,22,12,15617,8145,26,14
semi,22,11,20195,9856,24,16
semi,22,10,22679,9997,22,17
semi,22,9,19410,7211,20,19
semi,22,8,11262,2949,18,21
semi,22,7,4086,895,16,22
semi,22,6,1254,286,14,24
semi,22,5,392,90,12,26
semi,22,4,125,32,10,27
semi,22,3,40,10,8,29
semi,22,2,12,4,6,30
semi,22,1,3,1,4,30
semi,23,23,0,13,52,1
semi,23,22,33,33,46,1
semi,23,21,110,69,44,2
semi,23,20,230,144,42,3
semi,23,19,464,306,40,5
semi,23,18,1012,610,38,6
semi,23,17,1927,1200,36,8
semi,23,16,3845,2304,34,9
semi,23,15,7005,4103,32,11
semi,23,14,12353,7098,30,13
semi,23,13,19613,10485,28,14
semi,23,12,27851,14263,26,16
semi,23,11,34776,16312,24,17
semi,23,10,35619,15086,22,19
semi,23,9,27035,8835,20,21
semi,23,8,12699,2950,18,22
semi,23,7,4087,895,16,24
semi,23,6,1254,286,14,26
semi,23,5,392,90,12,27
semi,23,4,125,32,10,29
semi,23,3,40,10,8,30
semi,23,2,12,4,6,32
semi,23,1,3,1,4,32
semi,24,24,0,14,54,1
semi,24,23,34,34,48,1
semi,24,22,117,73,46,2
semi,24,21,238,149,44,3
semi,24,20,495,329,42,5
semi,24,19,1068,642,40,6
semi,24,18,2091,1317,38,8
semi,24,17,4162,2492,36,9
semi,24,16,7875,4695,34,11
semi,24,15,14056,8132,32,13
semi,24,14,23886,13242,30,14
semi,24,13,35546,18700,28,16
semi,24,12,48228,23638,26,17
semi,24,11,55361,25283,24,19
semi,24,10,51780,20167,22,21
semi,24,9,33109,9631,20,22
semi,24,8,13432,2950,18,24
semi,24,7,4087,895,16,26
semi,24,6,1254,286,14,27
semi,24,5,392,90,12,29
semi,24,4,125,32,10,31
semi,24,3,40,10,8,32
semi,24,2,12,4,6,33
semi,24,1,3,1,4,34
semi,25,25,0,14,56,1
semi,25,24,36,36,50,1
semi,25,23,121,76,48,2
semi,25,22,255,160,46,3
semi,25,21,521,345,44,5
semi,25,20,1152,698,42,6
semi,25,19,2240,1406,40,8
semi,25,18,4581,2775,38,9
semi,25,17,8683,5178,36,11
semi,25,16,16178,9555,34,13
semi,25,15,28096,15768,32,14
semi,25,14,45056,24625,30,16
semi,25,13,65039,32983,28,17
semi,25,12,82793,40065,26,19
semi,25,11,90239,39122,24,21
semi,25,10,74138,26527,22,22
semi,25,9,39904,9823,20,24
semi,25,8,13623,2950,18,26
semi,25,7,4087,895,16,27
semi,25,6,1254,286,14,29
semi,25,5,392,90,12,31
semi,25,4,125,32,10,32
semi,25,3,40,10,8,34
semi,25,2,12,4,6,35
semi,25,1,3,1,4,36
semi,26,26,0,15,58,1
semi,26,25,37,37,52,1
semi,26,24,128,80,50,2
semi,26,23,263,165,48,3
semi,26,22,552,368,46,5
semi,26,21,1208,730,44,6
semi,26,20,2404,1523,42,8
semi,26,19,4898,2963,40,9
semi,26,18,9553,5770,38,11
semi,26,17,17883,10591,36,13
semi,26,16,32583,18735,34,14
semi,26,15,53729,29850,32,16
semi,26,14,83119,43601,30,17
semi,26,13,112605,56314,28,19
semi,26,12,136324,63216,26,21
semi,26,11,134146,55180,24,22
semi,26,10,96401,30509,22,24
semi,26,9,43344,9823,20,26
semi,26,8,13623,2950,18,27
semi,26,7,4087,895,16,29
semi,26,6,1254,286,14,31
semi,26,5,392,90,12,32
semi,26,4,125,32,10,34
semi,26,3,40,10,8,36
semi,26,2,12,4,6,37
semi,26,1,3,1,4,37
semi,27,27,0,15,60,1
semi,27,26,39,39,54,1
semi,27,25,132,83,52,2
semi,27,24,280,176,50,3
semi,27,23,578,384,48,5
semi,27,22,1292,786,46,6
semi,27,21,2553,1612,44,8
semi,27,20,5317,3246,42,9
semi,27,19,10361,6253,40,11
semi,27,18,20007,12016,38,13
semi,27,17,36827,21293,36,14
semi,27,16,64215,36691,34,16
semi,27,15,103210,55382,32,17
semi,27,14,150571,78026,30,19
semi,27,13,198326,96450,28,21
semi,27,12,224238,100970,26,22
semi,27,11,200991,76211,24,24
semi,27,10,121280,33280,22,26
semi,27,9,45925,9823,20,27
semi,27,8,13623,2950,18,29
semi,27,7,4087,895,16,31
semi,27,6,1254,286,14,32
semi,27,5,392,90,12,34
semi,27,4,125,32,10,36
semi,27,3,40,10,8,37
semi,27,2,12,4,6,38
semi,27,1,3,1,4,39
semi,28,28,0,16,62,1
semi,28,27,40,40,56,1
semi,28,26,139,87,54,2
semi,28,25,288,181,52,3
semi,28,24,609,407,50,5
semi,28,23,1348,818,48,6
semi,28,22,2717,1729,46,8
semi,28,21,5634,3434,44,9
semi,28,20,11231,6845,42,11
semi,28,19,21712,13052,40,13
semi,28,18,41348,24294,38,14
semi,28,17,73164,42160,36,16
semi,28,16,124546,68828,34,17
semi,28,15,189339,100347,32,19
semi,28,14,266489,133964,30,21
semi,28,13,329564,156729,28,22
semi,28,12,346088,147507,26,24
semi,28,11,271474,93600,24,26
semi,28,10,139089,33535,22,27
semi,28,9,46180,9823,20,29
semi,28,8,13623,2950,18,31
semi,28,7,4087,895,16,32
semi,28,6,1254,286,14,34
semi,28,5,392,90,12,36
semi,28,4,125,32,10,37
semi,28,3,40,10,8,39
semi,28,2,12,4,6,40
semi,28,1,3,1,4,41
semi,29,29,0,16,64,1
semi,29,28,42,42,58,1
semi,29,27,143,90,56,2
semi,29,26,305,192,54,3
semi,29,25,635,423,52,5
semi,29,24,1432,874,50,6
semi,29,23,2866,1818,48,8
semi,29,22,6053,3717,46,9
semi,29,21,12039,7328,44,11
semi,29,20,23836,14477,42,13
semi,29,19,45594,26854,40,14
semi,29,18,83926,49273,38,16
semi,29,17,146073,81797,36,17
semi,29,16,236133,128861,34,19
semi,29,15,350057,180908,32,21
semi,29,14,469849,233250,30,22
semi,29,13,555810,255602,28,24
semi,29,12,532050,213561,26,26
semi,29,11,360894,109141,24,27
semi,29,10,152627,33536,22,29
semi,29,9,46181,9823,20,31
semi,29,8,13623,2950,18,32
semi,29,7,4087,895,16,34
semi,29,6,1254,286,14,36
semi,29,5,392,90,12,38
semi,29,4,125,32,10,39
semi,29,3,40,10,8,41
semi,29,2,12,4,6,42
semi,29,1,3,1,4,42
semi,30,30,0,17,66,1
semi,30,29,43,43,60,1
semi,30,28,150,94,58,2
semi,30,27,313,197,56,3
semi,30,26,666,446,54,5
semi,30,25,1488,906,52,6
semi,30,24,3030,1935,50,8
semi,30,23,6370,3905,48,9
semi,30,22,12909,7920,46,11
semi,30,21,25541,15513,44,13
semi,30,20,50117,29857,42,14
semi,30,19,92913,54778,40,16
semi,30,18,168843,96609,38,17
semi,30,17,280349,155380,36,19
semi,30,16,439394,232988,34,21
semi,30,15,621359,316779,32,22
semi,30,14,798513,385448,30,24
semi,30,13,876756,387059,28,26
semi,30,12,751023,277197,26,27
semi,30,11,432710,115139,24,29
semi,30,10,158370,33536,22,31
semi,30,9,46181,9823,20,32
semi,30,8,13623,2950,18,34
semi,30,7,4087,895,16,36
semi,30,6,1254,286,14,38
semi,30,5,392,90,12,39
semi,30,4,125,32,10,41
semi,30,3,40,10,8,42
semi,30,2,12,4,6,44
semi,30,1,3,1,4,44
semi,31,31,0,17,68,1
semi,31,30,45,45,62,1
semi,31,29,154,97,60,2
semi,31,28,330,208,58,3
semi,31,27,692,462,56,5
semi,31,26,1572,962,54,6
semi,31,25,3179,2024,52,8
semi,31,24,6789,4188,50,9
semi,31,23,13717,8403,48,11
semi,31,22,27665,16938,46,13
semi,31,21,54363,32417,44,14
semi,31,20,103713,61929,42,16
semi,31,19,190716,109888,40,17
semi,31,18,332563,188764,38,19
semi,31,17,539352,291640,36,21
semi,31,16,809394,424058,34,22
semi,31,15,1113810,557714,32,24
semi,31,14,1362571,641766,30,26
semi,31,13,1388349,582147,28,27
semi,31,12,1042754,345577,26,29
semi,31,11,500370,115907,24,31
semi,31,10,159137,33536,22,32
semi,31,9,46181,9823,20,34
semi,31,8,13623,2950,18,36
semi,31,7,4087,895,16,38
semi,31,6,1254,286,14,39
semi,31,5,392,90,12,41
semi,31,4,125,32,10,43
semi,31,3,40,10,8,44
semi,31,2,12,4,6,45
semi,31,1,3,1,4,46
semi,32,32,0,18,70,1
semi,32,31,46,46,64,1
semi,32,30,161,101,62,2
semi,32,29,338,213,60,3
semi,32,28,723,485,58,5
semi,32,27,1628,994,56,6
semi,32,26,3343,2141,54,8
semi,32,25,7106,4376,52,9
semi,32,24,14587,8995,50,11
semi,32,23,29370,17974,48,13
semi,32,22,58886,35420,46,14
semi,32,21,112702,67436,44,16
semi,32,20,213832,125042,42,17
semi,32,19,378801,216991,40,19
semi,32,18,644901,357068,38,21
semi,32,17,1003146,535485,36,22
semi,32,16,1457001,748586,34,24
semi,32,15,1915119,939680,32,26
semi,32,14,2202762,1000525,30,27
semi,32,13,2030967,793970,28,29
semi,32,12,1312481,385680,26,31
semi,32,11,535497,115907,24,32
semi,32,10,159137,33536,22,34
semi,32,9,46181,9823,20,36
semi,32,8,13623,2950,18,38
semi,32,7,4087,895,16,39
semi,32,6,1254,286,14,41
semi,32,5,392,90,12,43
semi,32,4,125,32,10,44
semi,32,3,40,10,8,46
semi,32,2,12,4,6,47
semi,32,1,3,1,4,47
semi,33,33,0,18,72,1
semi,33,32,48,48,66,1
semi,33,31,165,104,64,2
semi,33,30,355,224,62,3
semi,33,29,749,501,60,5
semi,33,28,1712,1050,58,6
semi,33,27,3492,2230,56,8
semi,33,26,7525,4659,54,9
semi,33,25,15395,9478,52,11
semi,33,24,31494,19399,50,13
semi,33,23,63132,37980,48,14
semi,33,22,123504,74589,46,16
semi,33,21,235747,138361,44,17
semi,33,20,433035,252319,42,19
semi,33,19,753455,422538,40,21
semi,33,18,1232751,673266,38,22
semi,33,17,1871038,983050,36,24
semi,33,16,2626659,1332136,34,26
semi,33,15,3319434,1593398,32,27
semi,33,14,3570650,1552529,30,29
semi,33,13,2933353,1051296,28,31
semi,33,12,1598645,405394,26,32
semi,33,11,554445,115907,24,34
semi,33,10,159137,33536,22,36
semi,33,9,46181,9823,20,38
semi,33,8,13623,2950,18,39
semi,33,7,4087,895,16,41
semi,33,6,1254,286,14,43
semi,33,5,392,90,12,44
semi,33,4,125,32,10,46
semi,33,3,40,10,8,48
semi,33,2,12,4,6,49
semi,33,1,3,1,4,49
semi,34,34,0,19,74,1
semi,34,33,49,49,68,1
semi,34,32,172,108,66,2
semi,34,31,363,229,64,3
semi,34,30,780,524,62,5
semi,34,29,1768,1082,60,6
semi,34,28,3656,2347,58,8
semi,34,27,7842,4847,56,9
semi,34,26,16265,10070,54,11
semi,34,25,33199,20435,52,13
semi,34,24,67655,40983,50,14
semi,34,23,132493,80096,48,16
semi,34,22,258905,153557,46,17
semi,34,21,479697,280930,44,19
semi,34,20,867568,495840,42,21
semi,34,19,1455199,805983,40,22
semi,34,18,2311329,1238978,38,24
semi,34,17,3390891,1757432,36,26
semi,34,16,4580341,2279954,34,27
semi,34,15,5477009,2546032,32,29
semi,34,14,5387332,2213989,30,31
semi,34,13,3871817,1243553,28,32
semi,34,12,1783151,406417,26,34
semi,34,11,555468,115907,24,36
semi,34,10,159137,33536,22,38
semi,34,9,46181,9823,20,39
semi,34,8,13623,2950,18,41
semi,34,7,4087,895,16,43
semi,34,6,1254,286,14,44
semi,34,5,392,90,12,46
semi,34,4,125,32,10,48
semi,34,3,40,10,8,49
semi,34,2,12,4,6,50
semi,34,1,3,1,4,51
semi,35,35,0,19,76,1
semi,35,34,51,51,70,1
semi,35,33,176,111,68,2
semi,35,32,380,240,66,3
semi,35,31,806,540,64,5
semi,35,30,1852,1138,62,6
semi,35,29,3805,2436,60,8
semi,35,28,8261,5130,58,9
semi,35,27,17073,10553,56,11
semi,35,26,35323,21860,54,13
semi,35,25,71901,43543,52,14
semi,35,24,143295,87249,50,16
semi,35,23,280822,166878,48,17
semi,35,22,534355,316678,46,19
semi,35,21,978874,563674,44,21
semi,35,20,1713264,968216,42,22
semi,35,19,2805336,1528776,40,24
semi,35,18,4319575,2287668,38,26
semi,35,17,6173318,3162486,36,27
semi,35,16,8040691,3921211,34,29
semi,35,15,9052952,4066968,32,31
semi,35,14,8074634,3077718,30,32
semi,35,13,4947978,1393068,28,34
semi,35,12,1916024,406418,26,36
semi,35,11,555469,115907,24,38
semi,35,10,159137,33536,22,39
semi,35,9,46181,9823,20,41
semi,35,8,13623,2950,18,43
semi,35,7,4087,895,16,44
semi,35,6,1254,286,14,46
semi,35,5,392,90,12,48
semi,35,4,125,32,10,49
semi,35,3,40,10,8,51
semi,35,2,12,4,6,52
semi,35,1,3,1,4,53
semi,36,36,0,20,78,1
semi,36,35,52,52,72,1
semi,36,34,183,115,70,2
semi,36,33,388,245,68,3
semi,36,32,837,563,66,5
semi,36,31,1908,1170,64,6
semi,36,30,3969,2553,62,8
semi,36,29,8578,5318,60,9
semi,36,28,17943,11145,58,11
semi,36,27,37028,22896,56,13
semi,36,26,76424,46546,54,14
semi,36,25,152284,92756,52,16
semi,36,24,303982,182076,50,17
semi,36,23,581063,345333,48,19
semi,36,22,1095737,639642,46,21
semi,36,21,1948698,1111477,44,22
semi,36,20,3324541,1846568,42,24
semi,36,19,5281405,2841020,40,26
semi,36,18,7892629,4127242,38,27
semi,36,17,10900076,5485678,36,29
semi,36,16,13487427,6413539,34,31
semi,36,15,14076760,6009119,32,32
semi,36,14,11088900,3865629,30,34
semi,36,13,5797537,1436365,28,36
semi,36,12,1958298,406418,26,38
semi,36,11,555469,115907,24,39
semi,36,10,159137,33536,22,41
semi,36,9,46181,9823,20,43
semi,36,8,13623,2950,18,44
semi,36,7,4087,895,16,46
semi,36,6,1254,286,14,48
semi,36,5,392,90,12,50
semi,36,4,125,32,10,51
semi,36,3,40,10,8,53
semi,36,2,12,4,6,54
semi,36,1,3,1,4,54
semi,37,37,0,20,80,1
semi,37,36,54,54,74,1
semi,37,35,187,118,72,2
semi,37,34,405,256,70,3
semi,37,33,863,579,68,5
semi,37,32,1992,1226,66,6
semi,37,31,4118,2642,64,8
semi,37,30,8997,5601,62,9
semi,37,29,18751,11628,60,11
semi,37,28,39152,24321,58,13
semi,37,27,80670,49106,56,14
semi,37,26,163086,99909,54,16
semi,37,25,325899,195397,52,17
semi,37,24,635767,381127,50,19
semi,37,23,1207553,707942,48,21
semi,37,22,2219713,1285814,46,22
semi,37,21,3866456,2173000,44,24
semi,37,20,6404525,3508524,42,26
semi,37,19,9938076,5292602,40,27
semi,37,18,14483567,7482062,38,29
semi,37,17,19330045,9580429,36,31
semi,37,16,22742215,10469002,34,32
semi,37,15,21703962,8741927,32,34
semi,37,14,14900810,4608679,30,36
semi,37,13,6495557,1439437,28,38
semi,37,12,1961369,406418,26,39
semi,37,11,555469,115907,24,41
semi,37,10,159137,33536,22,43
semi,37,9,46181,9823,20,44
semi,37,8,13623,2950,18,46
semi,37,7,4087,895,16,48
semi,37,6,1254,286,14,50
semi,37,5,392,90,12,51
semi,37,4,125,32,10,53
semi,37,3,40,10,8,54
semi,37,2,12,4,6,56
semi,37,1,3,1,4,56
semi,38,38,0,21,82,1
semi,38,37,55,55,76,1
semi,38,36,194,122,74,2
semi,38,35,413,261,72,3
semi,38,34,894,602,70,5
semi,38,33,2048,1258,68,6
semi,38,32,4282,2759,66,8
semi,38,31,9314,5789,64,9
semi,38,30,19621,12220,62,11
semi,38,29,40857,25357,60,13
semi,38,28,85193,52109,58,14
semi,38,27,172075,105416,56,16
semi,38,26,349059,210595,54,17
semi,38,25,682477,409784,52,19
semi,38,24,1324926,784416,50,21
semi,38,23,2458789,1432247,48,22
semi,38,22,4433267,2532936,46,24
semi,38,21,7512109,4166576,44,26
semi,38,20,12103327,6549908,42,27
semi,38,19,18313082,9630981,40,29
semi,38,18,25810004,13156464,38,31
semi,38,17,33004715,15951059,36,32
semi,38,16,36166618,16003046,34,34
semi,38,15,31051366,11543299,32,36
semi,38,14,18240006,5005157,30,38
semi,38,13,6852832,1439437,28,39
semi,38,12,1961369,406418,26,41
semi,38,11,555469,115907,24,43
semi,38,10,159137,33536,22,44
semi,38,9,46181,9823,20,46
semi,38,8,13623,2950,18,48
semi,38,7,4087,895,16,50
semi,38,6,1254,286,14,51
semi,38,5,392,90,12,53
semi,38,4,125,32,10,55
semi,38,3,40,10,8,56
semi,38,2,12,4,6,57
semi,38,1,3,1,4,58
semi,39,39,0,21,84,1
semi,39,38,57,57,78,1
semi,39,37,198,125,76,2
semi,39,36,430,272,74,3
semi,39,35,920,618,72,5
semi,39,34,2132,1314,70,6
semi,39,33,4431,2848,68,8
semi,39,32,9733,6072,66,9
semi,39,31,20429,12703,64,11
semi,39,30,42981,26782,62,13
semi,39,29,89439,54669,60,14
semi,39,28,182877,112569,58,16
semi,39,27,370976,223916,56,17
semi,39,26,737183,445580,54,19
semi,39,25,1436792,852764,52,21
semi,39,24,2733444,1610132,50,22
semi,39,23,4994096,2875024,48,24
semi,39,22,8779423,4952688,46,26
semi,39,21,14532802,7974228,44,27
semi,39,20,22886195,12248605,42,29
semi,39,19,33811401,17635953,40,31
semi,39,18,46318997,23218716,38,32
semi,39,17,56431443,26617330,36,34
semi,39,16,57413054,24108717,34,36
semi,39,15,43415133,14664097,32,38
semi,39,14,21545392,5143192,30,39
semi,39,13,6987797,1439437,28,41
semi,39,12,1961369,406418,26,43
semi,39,11,555469,115907,24,44
semi,39,10,159137,33536,22,46
semi,39,9,46181,9823,20,48
semi,39,8,13623,2950,18,50
semi,39,7,4087,895,16,51
semi,39,6,1254,286,14,53
semi,39,5,392,90,12,55
semi,39,4,125,32,10,56
semi,39,3,40,10,8,58
semi,39,2,12,4,6,59
semi,39,1,3,1,4,60
semi,40,40,0,22,86,1
semi,40,39,58,58,80,1
semi,40,38,205,129,78,2
semi,40,37,438,277,76,3
semi,40,36,951,641,74,5
semi,40,35,2188,1346,72,6
semi,40,34,4595,2965,70,8
semi,40,33,10050,6260,68,9
semi,40,32,21299,13295,66,11
semi,40,31,44686,27818,64,13
semi,40,30,93962,57672,62,14
semi,40,29,191866,118076,60,16
semi,40,28,394136,239114,58,17
semi,40,27,783893,474237,56,19
semi,40,26,1554215,929288,54,21
semi,40,25,2973124,1757121,52,22
semi,40,24,5579781,3252816,50,24
semi,40,23,9963639,5670826,48,26
semi,40,22,17076571,9515724,46,27
semi,40,21,27635220,14985172,44,29
semi,40,20,42386326,22482664,42,31
semi,40,19,60954311,31323643,40,32
semi,40,18,80046981,39377283,38,34
semi,40,17,91925448,41771189,36,36
semi,40,16,84766101,33402457,34,38
semi,40,15,55825149,16805531,32,39
semi,40,14,23520848,5147287,30,41
semi,40,13,6991892,1439437,28,43
semi,40,12,1961369,406418,26,44
semi,40,11,555469,115907,24,46
semi,40,10,159137,33536,22,48
semi,40,9,46181,9823,20,50
semi,40,8,13623,2950,18,51
semi,40,7,4087,895,16,53
semi,40,6,1254,286,14,55
semi,40,5,392,90,12,56
semi,40,4,125,32,10,58
semi,40,3,40,10,8,60
semi,40,2,12,4,6,61
semi,40,1,3,1,4,61
semi,41,41,0,22,88,1
semi,41,40,60,60,82,1
semi,41,39,209,132,80,2
semi,41,38,455,288,78,3
semi,41,37,977,657,76,5
semi,41,36,2272,1402,74,6
semi,41,35,4744,3054,72,8
semi,41,34,10469,6543,70,9
semi,41,33,22107,13778,68,11
semi,41,32,46810,29243,66,13
semi,41,31,98208,60232,64,14
semi,41,30,202668,125229,62,16
semi,41,29,416053,252435,60,17
semi,41,28,838599,510033,58,19
semi,41,27,1666083,997638,56,21
semi,41,26,3248383,1935606,54,22
semi,41,25,6145318,3599052,52,24
semi,41,24,11307209,6525956,50,26
semi,41,23,19760568,11128554,48,27
semi,41,22,33113935,18223012,46,29
semi,41,21,52462559,28250921,44,31
semi,41,20,78893438,41405721,42,32
semi,41,19,110205666,55974868,40,34
semi,41,18,139092963,66780448,38,36
semi,41,17,149051875,65038713,36,38
semi,41,16,123426818,44705123,34,39
semi,41,15,69060258,18230922,32,41
semi,41,14,24820492,5147288,30,43
semi,41,13,6991893,1439437,28,44
semi,41,12,1961369,406418,26,46
semi,41,11,555469,115907,24,48
semi,41,10,159137,33536,22,50
semi,41,9,46181,9823,20,51
semi,41,8,13623,2950,18,53
semi,41,7,4087,895,16,55
semi,41,6,1254,286,14,56
semi,41,5,392,90,12,58
