oeisID,n,boundary,buckets,arcCodes,arcCodeBitWidth,crossingsBitWidth
A000682,29,17,146073,81797,36,17
A000682,29,16,236133,128861,34,19
A000682,29,15,350057,180908,32,21
A000682,29,14,469849,233250,30,22
A000682,29,13,555810,255602,28,24
A000682,29,12,532050,213561,26,26
A000682,29,11,360894,109141,24,27
A000682,29,10,152627,33536,22,29
A000682,29,9,46181,9823,20,31
A000682,29,8,13623,2950,18,32
A000682,29,7,4087,895,16,34
A000682,29,6,1254,286,14,36
A000682,29,5,392,90,12,38
A000682,29,4,125,32,10,39
A000682,29,3,40,10,8,41
A000682,29,2,12,4,6,42
A000682,29,1,3,1,4,42
A000682,30,30,0,17,66,1
A000682,30,29,43,43,60,1
A000682,30,28,150,94,58,2
A000682,30,27,313,197,56,3
A000682,30,26,666,446,54,5
A000682,30,25,1488,906,52,6
A000682,30,24,3030,1935,50,8
A000682,30,23,6370,3905,48,9
A000682,30,22,12909,7920,46,11
A000682,30,21,25541,15513,44,13
A000682,30,20,50117,29857,42,14
A000682,30,19,92913,54778,40,16
A000682,30,18,168843,96609,38,17
A000682,30,17,280349,155380,36,19
A000682,30,16,439394,232988,34,21
A000682,30,15,621359,316779,32,22
A000682,30,14,798513,385448,30,24
A000682,30,13,876756,387059,28,26
A000682,30,12,751023,277197,26,27
A000682,30,11,432710,115139,24,29
A000682,30,10,158370,33536,22,31
A000682,30,9,46181,9823,20,32
A000682,30,8,13623,2950,18,34
A000682,30,7,4087,895,16,36
A000682,30,6,1254,286,14,38
A000682,30,5,392,90,12,39
A000682,30,4,125,32,10,41
A000682,30,3,40,10,8,42
A000682,30,2,12,4,6,44
A000682,30,1,3,1,4,44
A000682,31,31,0,17,68,1
A000682,31,30,45,45,62,1
A000682,31,29,154,97,60,2
A000682,31,28,330,208,58,3
A000682,31,27,692,462,56,5
A000682,31,26,1572,962,54,6
A000682,31,25,3179,2024,52,8
A000682,31,24,6789,4188,50,9
A000682,31,23,13717,8403,48,11
A000682,31,22,27665,16938,46,13
A000682,31,21,54363,32417,44,14
A000682,31,20,103713,61929,42,16
A000682,31,19,190716,109888,40,17
A000682,31,18,332563,188764,38,19
A000682,31,17,539352,291640,36,21
A000682,31,16,809394,424058,34,22
A000682,31,15,1113810,557714,32,24
A000682,31,14,1362571,641766,30,26
A000682,31,13,1388349,582147,28,27
A000682,31,12,1042754,345577,26,29
A000682,31,11,500370,115907,24,31
A000682,31,10,159137,33536,22,32
A000682,31,9,46181,9823,20,34
A000682,31,8,13623,2950,18,36
A000682,31,7,4087,895,16,38
A000682,31,6,1254,286,14,39
A000682,31,5,392,90,12,41
A000682,31,4,125,32,10,43
A000682,31,3,40,10,8,44
A000682,31,2,12,4,6,45
A000682,31,1,3,1,4,46
A000682,32,32,0,18,70,1
A000682,32,31,46,46,64,1
A000682,32,30,161,101,62,2
A000682,32,29,338,213,60,3
A000682,32,28,723,485,58,5
A000682,32,27,1628,994,56,6
