oeisID,n,k,buckets,nLess_k,nLess_kHalf,kOdd,nLess_kOdd,expGrowth,maxedOut,oddOdd,x,coefficient,baseFormula,exponent,startCoefficient
A005316,16,8,766,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,6.28,1.5803,843.5462254,0,1.5803
A005316,16,7,1042,9,5,TRUE,TRUE,FALSE,FALSE,TRUE,7.85,1.556,3992.282597,0,1.556
A005316,17,9,974,8,4,TRUE,FALSE,FALSE,FALSE,FALSE,6.28,1.8047,963.3284016,0,1.8047
A005316,17,8,1653,9,5,FALSE,TRUE,FALSE,FALSE,FALSE,7.85,0.834,2139.82242,0,0.834
A005316,17,7,1739,10,5,TRUE,FALSE,FALSE,FALSE,FALSE,7.85,1.8047,4630.380722,0,1.8047
A005316,18,9,1643,9,5,TRUE,TRUE,FALSE,FALSE,TRUE,7.85,1.556,3992.282597,0,1.556
A005316,18,8,2409,10,5,FALSE,FALSE,FALSE,FALSE,FALSE,7.85,1.5803,4054.629941,0,1.5803
A005316,19,10,2156,9,5,FALSE,TRUE,FALSE,FALSE,FALSE,7.85,0.834,2139.82242,0,0.834
A005316,19,9,3599,10,5,TRUE,FALSE,FALSE,FALSE,FALSE,7.85,1.8047,4630.380722,0,1.8047
A005316,19,8,4267,11,6,FALSE,TRUE,FALSE,FALSE,FALSE,9.42,0.834,10285.37357,0,0.834
A005316,20,10,3592,10,5,FALSE,FALSE,FALSE,FALSE,FALSE,7.85,1.5803,4054.629941,0,1.5803
A005316,20,9,5428,11,6,TRUE,TRUE,FALSE,FALSE,TRUE,9.42,1.556,19189.49793,0,1.556
A005316,20,8,5494,12,6,FALSE,FALSE,FALSE,FALSE,FALSE,9.42,1.5803,19489.17968,0,1.5803
A005316,21,11,4522,10,5,TRUE,FALSE,FALSE,FALSE,FALSE,7.85,1.8047,4630.380722,0,1.8047
A005316,21,10,8056,11,6,FALSE,TRUE,FALSE,FALSE,FALSE,9.42,0.834,10285.37357,0,0.834
A005316,21,9,10072,12,6,TRUE,FALSE,FALSE,FALSE,FALSE,9.42,1.8047,22256.61113,0,1.8047
A005316,22,11,7692,11,6,TRUE,TRUE,FALSE,FALSE,TRUE,9.42,1.556,19189.49793,0,1.556
A005316,22,10,12271,12,6,FALSE,FALSE,FALSE,FALSE,FALSE,9.42,1.5803,19489.17968,0,1.5803
A005316,22,9,13497,13,7,TRUE,TRUE,FALSE,FALSE,TRUE,10.99,1.556,92237.16558,0,1.556
A005316,23,12,9903,11,6,FALSE,TRUE,FALSE,FALSE,FALSE,9.42,0.834,10285.37357,0,0.834
A005316,23,11,17472,12,6,TRUE,FALSE,FALSE,FALSE,FALSE,9.42,1.8047,22256.61113,0,1.8047
A005316,23,10,23726,13,7,FALSE,TRUE,FALSE,FALSE,FALSE,10.99,0.834,49438.1723,0,0.834
A005316,24,12,16726,12,6,FALSE,FALSE,FALSE,FALSE,FALSE,9.42,1.5803,19489.17968,0,1.5803
A005316,24,11,27264,13,7,TRUE,TRUE,FALSE,FALSE,TRUE,10.99,1.556,92237.16558,0,1.556
A005316,24,10,32863,14,7,FALSE,FALSE,FALSE,FALSE,FALSE,10.99,1.5803,93677.63032,0,1.5803
A005316,25,13,20903,12,6,TRUE,FALSE,FALSE,FALSE,FALSE,9.42,1.8047,22256.61113,0,1.8047
A005316,25,12,38631,13,7,FALSE,TRUE,FALSE,FALSE,FALSE,10.99,0.834,49438.1723,0,0.834
A005316,25,11,54528,14,7,TRUE,FALSE,FALSE,FALSE,FALSE,10.99,1.8047,106979.6997,0,1.8047
A005316,25,10,56405,15,8,FALSE,TRUE,FALSE,FALSE,FALSE,12.56,0.834,237631.9016,0,0.834
A005316,26,13,35832,13,7,TRUE,TRUE,FALSE,FALSE,TRUE,10.99,1.556,92237.16558,0,1.556
A005316,26,12,60768,14,7,FALSE,FALSE,FALSE,FALSE,FALSE,10.99,1.5803,93677.63032,0,1.5803
A005316,26,11,77851,15,8,TRUE,TRUE,FALSE,FALSE,TRUE,12.56,1.556,443351.6054,0,1.556
A005316,27,14,45494,13,7,FALSE,TRUE,FALSE,FALSE,FALSE,10.99,0.834,49438.1723,0,0.834
A005316,27,13,83606,14,7,TRUE,FALSE,FALSE,FALSE,FALSE,10.99,1.8047,106979.6997,0,1.8047
A005316,27,12,125113,15,8,FALSE,TRUE,FALSE,FALSE,FALSE,12.56,0.834,237631.9016,0,0.834
A005316,27,11,140580,16,8,TRUE,FALSE,FALSE,FALSE,FALSE,12.56,1.8047,514213.7803,0,1.8047
A005316,28,14,77653,14,7,FALSE,FALSE,FALSE,FALSE,FALSE,10.99,1.5803,93677.63032,0,1.5803
A005316,28,13,133841,15,8,TRUE,TRUE,FALSE,FALSE,TRUE,12.56,1.556,443351.6054,0,1.556
A005316,28,12,183064,16,8,FALSE,FALSE,FALSE,FALSE,FALSE,12.56,1.5803,450275.4126,0,1.5803
A005316,29,15,96475,14,7,TRUE,FALSE,FALSE,FALSE,FALSE,10.99,1.8047,106979.6997,0,1.8047
A005316,29,14,183418,15,8,FALSE,TRUE,FALSE,FALSE,FALSE,12.56,0.834,237631.9016,0,0.834
A005316,29,13,282471,16,8,TRUE,FALSE,FALSE,FALSE,FALSE,12.56,1.8047,514213.7803,0,1.8047
A005316,29,12,344639,17,9,FALSE,TRUE,FALSE,FALSE,FALSE,14.13,0.834,1142212.951,0,0.834
A005316,30,15,166470,15,8,TRUE,TRUE,FALSE,FALSE,TRUE,12.56,1.556,443351.6054,0,1.556
A005316,30,14,295535,16,8,FALSE,FALSE,FALSE,FALSE,FALSE,12.56,1.5803,450275.4126,0,1.5803
A005316,30,13,422612,17,9,TRUE,TRUE,FALSE,FALSE,TRUE,14.13,1.556,2131035.193,0,1.556
A005316,30,12,462019,18,9,FALSE,FALSE,FALSE,FALSE,FALSE,14.13,1.5803,2164315.498,0,1.5803
A005316,31,16,209157,15,8,FALSE,TRUE,FALSE,FALSE,FALSE,12.56,0.834,237631.9016,0,0.834
A005316,31,15,396395,16,8,TRUE,FALSE,FALSE,FALSE,FALSE,12.56,1.8047,514213.7803,0,1.8047
A005316,31,14,637022,17,9,FALSE,TRUE,FALSE,FALSE,FALSE,14.13,0.834,1142212.951,0,0.834
A005316,31,13,825471,18,9,TRUE,FALSE,FALSE,FALSE,FALSE,14.13,1.8047,2471644.738,0,1.8047
A005316,32,16,359950,16,8,FALSE,FALSE,FALSE,FALSE,FALSE,12.56,1.5803,450275.4126,0,1.5803
